,Address,Case,DateTime,File,Incident,NumInc,Shift
6426,800 Block of Browns Ferry Rd,B09-001945,2009-08-19 15:50:00,383,BREAKING AND ENTERING A VEHICLE,2,II
6427,100 Block of Merrimack Ct,B09-001947,2009-08-18 17:00:00,383,THEFT OF LOST PROPERTY-3RD,1,II
6428,100 Block of Leathertree Ln,B09-001948,2009-08-19 17:30:00,383,AGGRAVATED ASSAULT 3RD,1,II
6429,100 Block of Hughes Rd,B09-001949,2009-08-19 19:30:00,383,THEFT 3RD DEGREE,1,II
6430,100 Block of Bridgefield Rd,B09-001951,2009-08-19 20:30:00,383,BURGLARY-3RD,2,II
6431,100 Block of Bridgefield Rd,B09-001951,2009-08-19 20:30:00,383,THEFT 3RD DEGREE,2,II
6432,100 Block of Hughes Rd,B09-001952,2009-08-19 22:24:00,383,DOMESTIC VIOLENCE 3RD,1,III
6433,100 Block of Medicine Bend Dr,B09-001954,2009-08-20 02:27:00,383,ATTEMPTED BURGLARY-FORCE-NON-RESIDENCE,1,III
6434,"Publix Store 1185, 12070 County Line Rd",B09-001955,2009-08-19 08:20:00,383,THEFT 2ND DEGREE,1,I
6435,area of Old Overton Dr,B09-001957,2009-08-20 11:20:00,383,CRIMINAL  MISCHIEF-2ND,1,I
6436,3000 Block of Sullivan St,B09-001958,2009-08-20 13:28:00,383,THEFT 3RD DEGREE,2,I
6437,3000 Block of Sullivan St,B09-001958,2009-08-20 13:28:00,383,FORGERY 3RD,2,I
6438,100 Block of Royal Dr,B09-001960,2009-08-20 16:46:00,383,HARASSING COMMUNICATIONS,1,II
6439,100 Block of Radisson Ln,B09-001962,2009-08-21 10:30:00,383,DOMESTIC VIOLENCE 3RD,1,I
6440,3000 Block of Sullivan St,B09-001964,2009-08-21 14:45:00,383,THEFT 2ND  DEGREE,1,II
6441,100 Block of W Dublin Dr,B09-001965,2009-08-21 15:25:00,383,HARASSMENT,1,II
6442,200 Block of Celtic Dr,B09-001967,2009-08-21 22:35:00,383,CRIMINAL MISCHIEF-2ND,1,III
6443,100 Block of Hughes Rd,B09-001969,2009-08-22 04:30:00,383,DOMESTIC VIOLENCE 3RD,1,III
6444,100 Block of Arrowhead Tr,B09-001970,2009-08-22 10:11:00,383,CRIMINAL MISCHIEF-3RD,1,I
6445,7000 Block of Highway 72 W,B09-001974,2009-08-22 21:30:00,383,DUTY UPON STRIKING UNATTENDED VEHICLE,1,II
6446,100 Block of Railroad Ridge Rd,B09-001975,2009-08-22 22:45:00,383,BURGLARY-1ST,2,III
6447,100 Block of Railroad Ridge Rd,B09-001975,2009-08-22 22:45:00,383,CRIMINAL MISCHIEF-3RD,2,III
6448,100 Block of Railroad Ridge Rd,B09-001976,2009-08-22 22:45:00,383,AGGRAVATED ASSAULT 3RD,1,III
6449,100 Block of Railroad Ridge Rd,B09-001978,2009-08-22 22:45:00,383,AGGRAVATED ASSAULT 2ND NON FAMILY OTHER WEAPON,1,III
6450,8000 Block of Madison Blvd,B09-001979,2009-08-23 08:30:00,384,CRIMINAL MISCHIEF-2ND,1,I
6451,"State Of Alabama, 8066 Madison Blvd",B09-001981,2009-08-23 14:14:00,384,POSS. FORGED   INSTRUMENT   1ST,1,II
6452,100 Block of Stone Meadow Ln,B09-001984,2009-08-23 17:00:00,384,THEFT 3RD DEGREE,1,II
6453,100 Block of Hughes Rd,B09-001986,2009-08-23 18:35:00,384,DOMESTIC VIOLENCE 3RD,1,II
6454,100 Block of Heritage Ln,B09-001989,2009-08-23 22:00:00,384,DOMESTIC VIOLENCE 3RD,1,III
6455,100 Block of Liza Ln,B09-001991,2009-08-24 11:45:00,384,BREAKING AND ENTERING A VEHICLE,2,I
6456,100 Block of Liza Ln,B09-001991,2009-08-24 11:45:00,384,THEFT 3RD DEGREE,2,I
6457,100 Block of Leathertree Ln,B09-001992,2009-08-24 13:00:00,384,UNAUTHORIZED USE OF AUTO,1,I
6458,"P3 Construction, 104 Grand Vista Dr",B09-001993,2009-08-24 13:30:00,384,CRIMINAL MISCHIEF-1ST,1,I
