id,case_no,time,shift,date,location,type
180,B11-000944,6:08pm,II,April16,2011, 100 Block of Royal Dr Madison, BREAKING AND ENTERING A VEHICLE
181,B11-000945,6:59pm,II,April16,2011, 100 Block of Marie Cir, BREAKING AND ENTERING A VEHICLE
182,B11-000950,3:35pm,II,April17,2011, Color Xpress, 132 Jetplex Ln, THEFT 3RD DEGREE
183,B11-000951,4:40pm,II,April17,2011, 100 Block of Mabscott Dr, CRIMINAL MISCHIEF-3RD
184,B11-000952,10:17pm,III,April17,2011, 100 Block of Bridgefield Rd, UNLAWFUL BREAKING AND ENTERING A VEHICLE
185,B11-000954,11:00pm,III,April17,2011, 100 Block of Tailwind Ct, UNLAWFUL BREAKING AND ENTERING A VEHICLE
186,B11-000955,11:21pm,III,April17,2011, 200 Block of Reserve Cir, BREAKING AND ENTERING A VEHICLE
187,B11-000956,4:06am,III,April18,2011, American Cab Co, 120 Brazelton Cir, THEFT OF SERVICES-3
188,B11-000957,7:11am,I,April18,2011, 100 Block of Equestrian Ln, BREAKING AND ENTERING A VEHICLE
189,B11-000958,7:11am,I,April18,2011, 100 Block of Equestrian Ln, UNLAWFUL BREAKING AND ENTERING A VEHICLE
190,B11-000959,8:15am,I,April18,2011, 200 Block of Pennsylvania Av, UNLAWFUL BREAKING AND ENTERING A VEHICLE
191,B11-000960,8:40am,I,April18,2011, 200 Block of Pennsylvania Av, BREAKING AND ENTERING A VEHICLE
192,B11-000961,10:11am,I,April18,2011, 100 Block of Tailwind Ct, BREAKING AND ENTERING A VEHICLE
193,B11-000962,10:15am,I,April18,2011, Cdi Electronics Inc, 111 Commerce Cir, THEFT 2ND DEGREE
194,B11-000963,11:00am,I,April18,2011, 100 Block of Paul Revere Dr, BURGLARY-3RD
195,B11-000963,11:00am,I,I, 100 Block of Paul Revere Dr, THEFT 1ST DEGREE
196,B11-000964,11:50am,I,April18,2011, 100 Block of Oak Brook Cir, THEFT 1ST DEGREE
197,B11-000965,1:30pm,I,April18,2011, State Of Alabama, 125 Honor Way Madison, RECEIVING STOLEN PROPERTY-1ST
198,B11-000966,3:28pm,II,April18,2011, 600 Block of Hughes Rd, THEFT 2ND DEGREE
199,B11-000967,3:55pm,II,April18,2011, 8000 Block of Madison Blvd Madison, HARASSMENT
200,B11-000968,4:45pm,II,April18,2011, 100 Block of Kipper Ln, IDENTITY THEFT
201,B11-000969,5:05pm,II,April18,2011, 100 Block of Amy Cir, THEFT 2ND DEGREE
202,B11-000970,5:50pm,II,April18,2011, 100 Block of Victoria Dr, BREAKING AND ENTERING A VEHICLE
203,B11-000971,7:20pm,II,April18,2011, 100 Block of Royal Dr, INDECENT EXPOSURE
204,B11-000972,6:00pm,II,April18,2011, 200 Block of Pennsylvania Av, BREAKING AND ENTERING A VEHICLE
