id % case_no % time % shift % date % location % latitude % longitude % incident_type
132 % B11-000881 % 12:25am % III % April11,2011 %  100 Block of Athens Blvd Madison AL % 34.715197 % -86.73223 %  UNLAWFUL BREAKING AND ENTERING A VEHICLE
133 % B11-000882 % 12:25am % III % April11,2011 %  100 Block of Athens Blvd Madison AL % 34.715197 % -86.73223 %  UNLAWFUL BREAKING AND ENTERING A VEHICLE
134 % B11-000884 % 6:40am % I % April11,2011 %  200 Block of Brockton Dr Madison AL % 34.686693 % -86.7934244 %  BREAKING AND ENTERING A VEHICLE
135 % B11-000886 % 9:40am % I % April11,2011 %  1000 Block of Hughes Rd Madison AL % 34.7218484 % -86.7416113 %  THEFT 3RD DEGREE
136 % B11-000887 % 11:32am % I % April11,2011 %  Global Majic, 216 Pointe Verde Cir Madison Madison AL % 34.707674 % -86.778525 %  BURGLARY-2ND
137 % B11-000887 % 11:32am % I % I %  Global Majic, 216 Pointe Verde Cir Madison Madison AL % 34.707674 % -86.778525 %  BREAKING AND ENTERING A VEHICLE
138 % B11-000889 % 2:28pm % II % April11,2011 %  100 Block of Medicine Bend Ct Madison AL % 34.747746 % -86.762944 %  DOMESTIC VIOLENCE 3RD
139 % B11-000890 % 4:15pm % II % April11,2011 %  100 Block of Shelton Rd Madison Madison AL % 34.6930512 % -86.7159831 %  ATTEMPTED BURGLARY-3RD-FORCE-RESIDENCE
140 % B11-000891 % 6:25pm % II % April11,2011 %  100 Block of Medicine Bend Madison Madison AL % 34.746517 % -86.757482 %  DOMESTIC VIOLENCE 3RD
141 % B11-000893 % 8:35pm % II % April11,2011 %  500 Block of Brenda Dr Madison Madison AL % 34.7113908 % -86.7168084 %  BREAKING AND ENTERING A VEHICLE
142 % B11-000894 % 10:00pm % III % April11,2011 %  900 Block of Bridgefield Rd Madison AL % 34.7142948 % -86.7534462 %  UNLAWFUL BREAKING AND ENTERING A VEHICLE
143 % B11-000894 % 10:00pm % III % III %  900 Block of Bridgefield Rd Madison AL % 34.7142948 % -86.7534462 %  THEFT 3RD DEGREE
144 % B11-000895 % 8:35pm % II % April11,2011 %  7000 Block of Hwy 72 Madison Madison AL % 34.7559545 % -86.7260735 %  ILLEGAL POSS/USE CREDIT CARD
145 % B11-000896 % 10:15pm % III % April11,2011 %  900 Block of Bridgefield Rd Madison AL % 34.7142948 % -86.7534462 %  UNLAWFUL BREAKING AND ENTERING A VEHICLE
146 % B11-000896 % 10:15pm % III % III %  900 Block of Bridgefield Rd Madison AL % 34.7142948 % -86.7534462 %  THEFT 3RD DEGREE
147 % B11-000897 % 10:03pm % III % April11,2011 %  9000 Block of Madison Blvd Madison AL % 34.6810361 % -86.7406046 %  BREAKING AND ENTERING A VEHICLE
148 % B11-000898 % 9:17am % I % April12,2011 %  Minitman, 8002 Highway 72 W Madison AL % 34.6992579 % -86.7483318 %  THEFT 3RD DEGREE
149 % B11-000900 % 4:15pm % II % April12,2011 %  600 Block of Hughes Rd Madison AL % 34.7185872 % -86.7417194 %  CRIMINAL MISCHIEF-3RD
150 % B11-000903 % 12:50pm % I % April13,2011 %  100 Block of Abby Ln Madison Madison AL % 34.722718 % -86.750686 %  CRIMINAL MISCHIEF-3RD
151 % B11-000904 % 3:00pm % II % April13,2011 %  3000 Block of Flagstone Dr Madison AL % 34.6920659 % -86.7212413 %  BURGLARY-3RD
152 % B11-000904 % 3:00pm % II % II %  3000 Block of Flagstone Dr Madison AL % 34.6920659 % -86.7212413 %  THEFT 2ND DEGREE
153 % B11-000905 % 5:18pm % II % April13,2011 %  100 Block of Oakhurst Dr Madison AL % 34.731062 % -86.713396 %  BURGLARY-3RD
154 % B11-000905 % 5:18pm % II % II %  100 Block of Oakhurst Dr Madison AL % 34.731062 % -86.713396 %  THEFT 3RD DEGREE
155 % B11-000906 % 5:13pm % II % April14,2011 %  8000 Block of Madison Blvd Madison AL % 34.6916999 % -86.7183959 %  DUTY UPON STRIKING UNATTENDED VEHICLE
156 % B11-000907 % 5:55pm % II % April13,2011 %  100 Block of Intracoastal Dr Madison AL % 34.7345789 % -86.720117 %  DOMESTIC VIOLENCE 3RD
157 % B11-000908 % 7:25pm % II % April13,2011 %  200 Block of Sunset Cir W Madison AL % 34.7116706 % -86.7369729 %  HARASSING COMMUNICATIONS
158 % B11-000910 % 10:48pm % III % April13,2011 %  100 Block of Angela Dr Madison AL % 34.728787 % -86.753857 %  DOMESTIC VIOLENCE 3RD
159 % B11-000912 % 1:01am % III % April14,2011 %  100 Block of Bibb Dr Madison AL % 34.699821 % -86.758016 %  DOMESTIC VIOLENCE 3RD
160 % B11-000913 % 7:09am % I % April14,2011 %  100 Block of Nikki Ln Madison AL % 34.738798 % -86.76067 %  BREAKING AND ENTERING A VEHICLE
161 % B11-000914 % 8:26am % I % April14,2011 %  100 Block of Dartford Dr Madison AL % 34.6862004 % -86.7910719 %  BREAKING AND ENTERING A VEHICLE
162 % B11-000916 % 4:15pm % II % April14,2011 %  Regions Bank, 7990 Highway 72 W Madison AL % 34.6992579 % -86.7483318 %  FORGERY 2ND
163 % B11-000918 % 7:57pm % II % April14,2011 %  100 Block of Michael Av Madison AL % 34.723477 % -86.750671 %  DOMESTIC VIOLENCE 3RD
164 % B11-000919 % 9:05pm % II % April14,2011 %  300 Block of Gillespie Rd Madison AL % 34.7287606 % -86.7502008 %  BURGLARY-3RD
165 % B11-000919 % 9:05pm % II % II %  300 Block of Gillespie Rd Madison AL % 34.7287606 % -86.7502008 %  THEFT 2ND DEGREE
166 % B11-000923 % 9:15am % I % April15,2011 %  100 Block of Champions Green Ct Madison AL % 34.7474432 % -86.7384923 %  DOMESTIC VIOLENCE 3RD
167 % B11-000924 % 8:45am % I % April15,2011 %  1000 Block of Hughes Rd Madison AL % 34.7218484 % -86.7416113 %  HARASSMENT
168 % B11-000927 % 1:51pm % I % April15,2011 %  Publix Pharmacy, 8000 Madison Blvd Madison Madison AL % 34.6916999 % -86.7183959 %  THEFT 2ND DEGREE
