id%case_no%time%shift%date%location%latitude%longitude%incident_type
143%B11-000894%10:00pm%III%April11,2011%900 Block of Bridgefield Rd Madison AL%34.7142948%-86.7534462%THEFT 3RD DEGREE
144%B11-000895%8:35pm%II%April11,2011%7000 Block of Hwy 72 Madison Madison AL%34.7559545%-86.7260735%ILLEGAL POSS/USE CREDIT CARD
145%B11-000896%10:15pm%III%April11,2011%900 Block of Bridgefield Rd Madison AL%34.7142948%-86.7534462%UNLAWFUL BREAKING AND ENTERING A VEHICLE
146%B11-000896%10:15pm%III%April11,2011%900 Block of Bridgefield Rd Madison AL%34.7142948%-86.7534462%THEFT 3RD DEGREE
147%B11-000897%10:03pm%III%April11,2011%9000 Block of Madison Blvd Madison AL%34.6810361%-86.7406046%BREAKING AND ENTERING A VEHICLE
148%B11-000898%9:17am%I%April12,2011%Minitman, 8002 Highway 72 W Madison AL%34.6992579%-86.7483318%THEFT 3RD DEGREE
149%B11-000900%4:15pm%II%April12,2011%600 Block of Hughes Rd Madison AL%34.7185872%-86.7417194%CRIMINAL MISCHIEF-3RD
150%B11-000903%12:50pm%I%April13,2011%100 Block of Abby Ln Madison Madison AL%34.722718%-86.750686%CRIMINAL MISCHIEF-3RD
151%B11-000904%3:00pm%II%April13,2011%3000 Block of Flagstone Dr Madison AL%34.6920659%-86.7212413%BURGLARY-3RD
152%B11-000904%3:00pm%II%April13,2011%3000 Block of Flagstone Dr Madison AL%34.6920659%-86.7212413%THEFT 2ND DEGREE
153%B11-000905%5:18pm%II%April13,2011%100 Block of Oakhurst Dr Madison AL%34.731062%-86.713396%BURGLARY-3RD
154%B11-000905%5:18pm%II%April13,2011%100 Block of Oakhurst Dr Madison AL%34.731062%-86.713396%THEFT 3RD DEGREE
155%B11-000906%5:13pm%II%April14,2011%8000 Block of Madison Blvd Madison AL%34.6916999%-86.7183959%DUTY UPON STRIKING UNATTENDED VEHICLE
156%B11-000907%5:55pm%II%April13,2011%100 Block of Intracoastal Dr Madison AL%34.7345789%-86.720117%DOMESTIC VIOLENCE 3RD
157%B11-000908%7:25pm%II%April13,2011%200 Block of Sunset Cir W Madison AL%34.7116706%-86.7369729%HARASSING COMMUNICATIONS
158%B11-000910%10:48pm%III%April13,2011%100 Block of Angela Dr Madison AL%34.728787%-86.753857%DOMESTIC VIOLENCE 3RD
159%B11-000912%1:01am%III%April14,2011%100 Block of Bibb Dr Madison AL%34.699821%-86.758016%DOMESTIC VIOLENCE 3RD
160%B11-000913%7:09am%I%April14,2011%100 Block of Nikki Ln Madison AL%34.738798%-86.76067%BREAKING AND ENTERING A VEHICLE
161%B11-000914%8:26am%I%April14,2011%100 Block of Dartford Dr Madison AL%34.6862004%-86.7910719%BREAKING AND ENTERING A VEHICLE
162%B11-000916%4:15pm%II%April14,2011%Regions Bank, 7990 Highway 72 W Madison AL%34.6992579%-86.7483318%FORGERY 2ND
163%B11-000918%7:57pm%II%April14,2011%100 Block of Michael Av Madison AL%34.723477%-86.750671%DOMESTIC VIOLENCE 3RD
164%B11-000919%9:05pm%II%April14,2011%300 Block of Gillespie Rd Madison AL%34.7287606%-86.7502008%BURGLARY-3RD
165%B11-000919%9:05pm%II%April14,2011%300 Block of Gillespie Rd Madison AL%34.7287606%-86.7502008%THEFT 2ND DEGREE
166%B11-000923%9:15am%I%April15,2011%100 Block of Champions Green Ct Madison AL%34.7474432%-86.7384923%DOMESTIC VIOLENCE 3RD
167%B11-000924%8:45am%I%April15,2011%1000 Block of Hughes Rd Madison AL%34.7218484%-86.7416113%HARASSMENT
168%B11-000927%1:51pm%I%April15,2011%Publix Pharmacy, 8000 Madison Blvd Madison Madison AL%34.6916999%-86.7183959%THEFT 2ND DEGREE
169%B11-000928%2:20pm%II%April15,2011%8000 Block of Madison Blvd Madison Madison AL%34.678548%-86.745506%ILLEGAL POSS/USE CREDIT CARD
170%B11-000929%2:20pm%II%April15,2011%8000 Block of Madison Blvd Madison AL%34.6916999%-86.7183959%ILLEGAL POSS/USE CREDIT CARD
171%B11-000930%3:03pm%II%April15,2011%7000 Block of Highway 72 W Madison AL%34.7536667%-86.7085097%AUTO THEFT-1ST DEGREE
172%B11-000932%11:30pm%III%April15,2011%100 Block of Paul Revere Dr Madison AL%34.7305139%-86.7855056%CRIMINAL TRESPASS
173%B11-000935%1:30am%III%April16,2011%100 Block of Carriage Hill Madison AL%34.6753749%-86.7173396%DOMESTIC VIOLENCE 3RD
174%B11-000936%7:10am%I%April16,2011%100 Block of Michli Rd Madison AL%34.699683%-86.751485%DOMESTIC VIOLENCE 2ND
175%B11-000937%7:54am%I%April16,2011%100 Block of Michli Rd Madison AL%34.699683%-86.751485%BURGLARY-2ND
176%B11-000938%10:20am%I%April16,2011%100 Block of Kim Cir Madison AL%34.7391508%-86.7525029%BREAKING AND ENTERING A VEHICLE
177%B11-000939%11:20am%I%April16,2011%100 Block of Long Creek Dr Madison AL%34.7401831%-86.7462085%BREAKING AND ENTERING A VEHICLE
178%B11-000941%5:55pm%II%April16,2011%Great Clips, 8498 Madison Blvd Madison Madison AL%34.6833647%-86.7366503%THEFT 3RD DEGREE
179%B11-000942%5:55pm%II%April16,2011%8000 Block of Madison Blvd Madison AL%34.6916999%-86.7183959%THEFT 3RD DEGREE
